Item,Category
Barrel Brazier,lighting
Skull Brazier,lighting
Marble Brazier,lighting
Wood Lamp-post,lighting
Iron Lamp-post,lighting
Jack-O-Lantern,lighting
Charcoal Kiln,refiningequipment
Crystalarium,refiningequipment
Furnace,refiningequipment
Lightning Rod,refiningequipment
Solar Panel,refiningequipment
Recycling Machine,refiningequipment
Seed Maker,refiningequipment
Slime Incubator,refiningequipment
Ostrich Incubator,refiningequipment
Slime Egg-Press,refiningequipment
Tapper,refiningequipment
Heavy Tapper,refiningequipment
Worm Bin,refiningequipment
Bone Mill,refiningequipment
Geode Crusher,refiningequipment
Tub o' Flowers,furniture
Wicked Statue,furniture
Flute Block,furniture
Drum Block,furniture
Chest,misc
Stone Chest,misc
Wood Sign,misc
Stone Sign,misc
Dark Sign,misc
Garden Pot,misc
Scarecrow,misc
Deluxe Scarecrow,misc
Staircase,misc
Explosive Ammo (5),misc
Transmute (Fe),misc
Transmute (Au),misc
Mini-Jukebox,misc
Mini-Obelisk,misc
Farm Computer,misc
Hopper,misc
Cookout Kit,misc
Recipe,crafting
Mineral,crafting
Edible,crafting
Bomb,crafting
Fence,crafting
Sprinkler,crafting
Artisan Equipment,crafting
Fertilizer,crafting
Seed,crafting
Decor,crafting
Fishing,crafting
Ring,crafting
Fence,crafting
Lighting,crafting
Refining Equipment,crafting
Furniture,crafting
Misc,crafting
